"prior_message","barney_message"
"No, I'm not.","Look, our forefathers died for the pursuit of happiness, okay. Not for the sit around and wait of happiness. Now if you want, you can go to the same bar, drink the same beer talk to the same people everyday, or you can lick the Liberty Bell! You can grab life by the crack and lick the crap out of it!"
"That was beautiful, man!","Thanks, Leonard. Ted, you're missing out on a valuable life lesson!"
"Look, I don't need you to teach me how to live, okay. I know how to live. If you want to go lick the Liberty Bell just go lick it yourself.","No, it has to be the two of us."
"Why? Why do you need me?","Because, you're my best friend, alright? You don't have to tell me I'm yours. But the way I see it, we're a team. Without you, I'm just the dynamic uno. You know what, fine. If you wanna go home... then we'll go home."
"Fine...we'll go lick the Liberty Bell!","Good,"
"That's the crazy part. I've had this shirt for, like, six years... Until this morning I wasn't into it at all, but now it's like my tastes have changed.","Booger."
"Barney's offering me fifty bucks to say some stupid word on a live news report.","Not some stupid word, ""Booger""."
"But I'm not doing it, I am a journalist.","What? Journalist? You do the little fluff pieces at the end of the news. Old people, babies, monkeys... that's not journalism, that's just things in a diaper."
"So I'm not going to jeopardize my promotion by saying ""Booger"" for fifty bucks.","Of course not, because now you're saying ""Nipple"" and it's a hundred! Step into my web."
"Not Goonies, girls. What if there's someone from my past, who I thought was wrong for me at the time, but in fact she, like my shirt, is actually a perfect fit?","Hold up, there are only two reasons to date a girl you've already dated. Breast, Implants."
"I just wasn't looking for a big commitment at the time, of course now a big commitment doesn't seem so bad... maybe I should call her? What do you guys think?","You dumped a p*rn star? Friendship over FRIENDSHIP OVER!"
"At least it's better than booger. Booger.","There she is. Hey is it cold in here, because I can kind of see Robin's nickels? Now for your next challenge..."
"No, there is not going to be another challenge, I don't care how much you offer me.","Oh, search your soul, Robin. You and I both know this wasn't about the money. Sure, Metro News One pays you jack and hey, a little green salad on the side's good for you, me and Mr. McGee."
"Seriously, who talks like that?","Well baby really likes, is the thrill of pulling one over on those bean counters, who under appreciate you and still haven't promoted you. And for two more hundy-sticks, baby's going to look in the camera and say this"
"I don't know!","Did you sleep with her sister?"
"Thank you.","Amateurs."
"That was me then, okay? This is the new old shirt-wearing, sack-having Ted. I'm gonna make this right.","You know what else? My younger sister just got married and I'm about to turn thirty-sex. Fantastic."
"I have no idea. Some kind of yoga?","You know, that Natalie... she's good times."
"Ineffable... good word. So when are you going to do it?","She's probably on the subway by now. You could call her Voice Mail. Beep, dumped. Click. Done!"
"No, no. We're going to get you out of this. Okay, how about... ""It's not you it's me""?","Mm... Mm! Six words! You... look... fat... in... those... jeans..., you're free to go."
"Ted, have you considered telling her the truth?","Seriously, honey, men are working, here."
"Want to talk mature? I just wrapped up a live newscast by honking my own boobs.","And great TV was had by all. Alright Scherbatsky, new challenge. And this one's big. But so, is the cash reward. For one thousand dollars, you heard me, all you have to do is get up there on the news and do one of these..."
"The Ickey Shuffle.","And as you do it, you say this, ""Elbert Ickey Woods. The bangles were fools to cut you in '91. Your 1521 rushing yards and your 27 touch downs will not be forgotten. So Coach Dave Shullah, screw you and your crappy steakhouse."""
"Well...","Page 4..."
"Oh, boy, here we go.","Everyone, everyone... If I may direct your attention to the television. You're about to see something... amazing."
"And them, in '72, Mickey Mantle rode my cab for the fourth time.","Come on, baby... bring it home."
"You planned that?","No, Marshall. That was beyond my wildest dreams"
"It's in my hair!","But isn't it nice to know that people are watching?"
"I'm bleeding internally.","Hey, Ted, you know what always picks me up when I'm down? Other people's misfortune. You missed something so amazing."
"Please can we please have one person in this whole bar who didn't see it?","Fine."
"Because tonight, I am getting us all into ""Okay"".","""Okay""!? Awesome!!"
"What's going on, did I just have a stroke?","""Okay"" is the name of a club. Yeah, it's supposed to be incredibly exclusive. This friend of mine once waited outside for two hours, he couldn't get in."
"A friend of yours named you?","No... a friend of mine named, shut up."
"He's even getting me into the VIP room.","Yeah, he just wants to show you his own VIP if you know what I mean..."
"Okay, what does ""VIP"" stand for in your universe?",".. I know that the ""P"" is penis."
"Ever since then she's been signing him up for book clubs, cooking classes...","All the things you do when you know where the next ten thousand lays are coming from."
"Oh, you are gonna love Kelly. She's fun, she's smart, she lives in the moment.","Translation, she's ugly, she's ugly, she ugs in the ugly."
"Okay, I guess I can take her off your hands for an evening.","So, do you have any other hot single fr..."
"Hey we're wearing the same shirt! Oh, wait no that's just my shirt reflected in yours.","One of the twenty-four similarities between girls and fish is that they're both attracted to shiny objects. You really never read my blog, do you?"
"Alright, well, have fun at your little disco, guys.","What the hell happened to these two?"
"Yeah, it's going to be sweet, too. Like tonight we're tasting all these different wines, pairing them up with these cool gourmet cheeses...","Wow, who knew being committed in a heterosexual relationship could make a guy so gay."
"Do strategies ever work for you?","Question is: do these strategies ever not work for me? Either way the answer's ""about half the time""."
"Whoa... this place in lourd!","You think?"
"You think?","Okay, it's a little loud."
"I'm bailing, see ya.","Oh hey, I can't see her face. Is she hot?"
"..any aspirin?","Maybe theres..."
"Maybe theres...","a machine in..."
"a machine in...","The restroom."
"Barney.","Ow. I know the house rules. Es un chiste."
"What? What happened to that, uh, cutlet you were grinding with?","That was my cousin, Leslie."
"What?!","You heard me."
"Hey. Thanks for saving my night. I'll talk to you soon? Umm, hey... tip her, Barney.","Why, I didn't check a coat. And even if I did, on principle tip jars have become so..."
"Funny story, Barney was grinding with this girl all night...","FINE! Just... eh."
"I'M SORRY, I JUST ASSUMMED YOU...","THEY PLAYED SOME GOOD SONGS TONIGHT."
"I KNOW, I KNOW. IT JUST SEEMS LIKE SUDDENLY WE'RE LIVING IN TWO DIFFERENT WORLDS. MAYBE YOU'VE GOT MORE IN COMMON WITH BARNEY.","WHAT?"
"PROBLEM IS... YOU CAN'T DO ANY OF THAT COUPLE STUFF UNLESS YOU HAVE SOMEONE TO DO IT WITH. AND THE ONLY WAY I'M GOING TO FIND THAT SOMEONE IS BY GOING OUT DOING STUPID SINGLE STUFF WITH BARNEY.","WHAT?"
"YOU KNOW, TED, I DON'T SAY THIS NEARLY ENOUGH BUT REALLY...","THAT PLACE MAKES GREAT SALADS!"
"I know, I'm still shaking.","What the? Haha, joke's on you, I have a cold."
"But those things coming out of his head, those were antennae","Marshall ran away from a cockroach."
"It, it was a mouse.","Oh, yeah, sorry, my bad. You're a man."
"BAR","Was that chick at the end really a client?"
"Yes.","What..."
"What?","You heard me. You got attacked by a monkey. You want to go to the issuance of Robin because you're afraid of being ridiculous."
"Oh my God.","Well, obviously, I've been proven right, so in the interest of Robin's dignity, I won't show anymore. Plus, it's getting late. It's already slap o'clock."
"(Ted sitting on couch reading magazine, Ted hears squeaking and tiny footstep noises, Barney barges into the apartment_","Ted, hurry, you gotta help me. My boat is sinking."
"Your boat is sinking. That was good.","Come on, Ted, this is an incredible opportunity. We'll meet our soulmates, nail 'em and never call them again."
"All finished, gentlemen? Congratulations, you have just taken your very first step.","Gosh, thanks, Ellen. I sure hope this works. I'm so done with the single life, all the games, the meaningless sex."
"You deserve more.","That is so true, Ellen. I really think I'm ready to stop being a me and start being a we."
"Oh, of course you can. That is so...","It's kinda hard to talk about with Ted here, but I just want someone who's not afraid to hold me at night when the tears come. Ellen, can you help me find her?"
"Get out.","Why, am I under arrest?"
"I get 15 guys like you every week. Jerks who just want to meet vulnerable women, nail 'em and never call them again.","Oh my God, people do that."
"You wanna do this the easy way or the hard way?","What's the hard way? Security roughs me up and tosses me out?"
"That's the easy way. The hard way is that I stomp the crap out of you myself.","OK, Ted, let's go."
"You're cute. You're an architect. Good career and you didn't use an obvious alias on your application like your friend, Jack Package.","It's pronounced 'Pa-kojj.'"
"OK, it's back and this time we got a good look.","Hey, seriously, you have to stop doing that."
"Shh, shh, it's OK, it's over.","So did you get a good look at it?"
"It's some sort of mutant combination of the two. It's as if a cockroach and a mouse...you know...","Hit the horizontal ten-legged interspecies cha-cha?"
"Did you just use my name as a verb?","Oh, yeah, we do that behind your back. Ted-out: to overthink. Also see Ted-up. Ted-up: to overthink something with disastrous results. Sample sentence: Billy Tedded up when"
"She wants to have two children. Her guilty pleasure song is Summer Breeze by Seals and Croft.","Wow, Ted, sounds like you're her perfect woman."
"OK, this is getting weird, the similarities go on and on. She hates phonies. I totally hate phonies too. She's a dermatologist. I have skin.","You wanna be her boyfriend. She already has a boyfriend. It's uncanny."
"Whoa whoa whoa, let's not skip over this. Raise your hand if earlier today you hit on an engaged woman.","Come on, Lily, don't hate the player, hate the game."
"Ted, hi, this is Dr. O'Brien. About today, listen, I really need to talk to you. Call me, I'll be at the office all day.","The doctor will see you now."
"In that scenario, I'm not interfering, I'm a happy ending.","Happy ending."
"Look, I have to go down there. I don't know what's gonna happen when I get there but I have to give it a sh*t.","All right, see you later. Happy hunting."
"Wait, where are you guys going? Don't you want to stay and see the cockamouse.","Yeah, we're gonna make some crop circles."
"INT. BAR","Wow, Jackie, you make a really great first impression. I have a feeling that tonight you might end up being Jackie O."
"And why is that girl checking you out?","Because I look good. Now focus, you and Marshall are roommates. You have an amazing apartment. Marshall and Lily just got engaged"
"Yeah, so?","So, you're not still gonna be his roommate when he gets married, are you? Someone's going to move out. So who's it gonna be?"
"Dammit Past Ted","You blew it, dude. Now that Lily's there, it's a whole new dynamic. They're edging you out."
"One of my best friends. He wouldn't do that to me.","Just keep your eyes open. That's all I'm saying, Ted. Little things are gonna be changing around that apartment."
"Come on, Barney, you're just being paranoid. OK, seriously, what is this girl's deal?","Sort of on a date with her."
"Oh, Lord, fake emergency? That is lamest, most pathetic cop-out in the book. I expect more from you, Barney.","Well, stay tuned, I'm working on some stuff. But in the meantime, wish me luck."
"Ooh, can I do it?","Hello? Robin: Hi there, sexy."
"Hello? Robin: Hi there, sexy.","Hello, Aunt Kathy, what's up?"
"Oh, nothing. Just sitting here, thinking about you, hot stuff.","An accident? Well, is Uncle Rudy gonna be OK? Robin: Aunt Kathy's got an itch that only you can scratch, big boy."
"An accident? Well, is Uncle Rudy gonna be OK? Robin: Aunt Kathy's got an itch that only you can scratch, big boy.","Oh God! Why did he think he could build his own helicopter?"
"Come on, daddy, break me off a piece of that white chocolate.","Well, if he needs a transplant, he can have mine. I'll be right there."
"Well, if he needs a transplant, he can have mine. I'll be right there.","See you guys later."
"They're edging me out. They're totally edging me out. I didn't' believe it but you're right.","Told you. That Lily, she's a shrewd one."
"One of your best friends. The point is, maybe it's time for some healthy communication.","Healthy communication? That's the worst idea ever. Look, you held off their first advance. That's good. Now it's time to counter-strike."
"Yeah, well, what am I supposed to do?","You gotta mark your territory, and I don't mean missing the toilet. You gotta do something big."
"What, like buy a new sofa?","Bigger."
"Bigger.","Katie's here. OK, real quick, last night, epiphany! I realized what the world of dating needs. Ready? A lemon law."
"A lemon law, like for cars.","Exactly. From the moment the date begins you have five minutes to decide whether you're going to commit to an entire evening. And if you don't, it's no hard feelings just good night, thanks for playing, see you never. Huh? Huh? The lemon law, it's gonna be a thing, possibly starting right now."
"Exactly. From the moment the date begins you have five minutes to decide whether you're going to commit to an entire evening. And if you don't, it's no hard feelings just good night, thanks for playing, see you never. Huh? Huh? The lemon law, it's gonna be a thing, possibly starting right now.","Hi Katie. Barney."
"Hi, it's good to finally meet you.","Hm, yeah. Katie, you are about to be a part of history."
"Hm, yeah. Katie, you are about to be a part of history.","Tell your friends."
"Tell your friends.","It's gonna be a thing."
"You're a jerk.","No, I'm a visionary. Lemon law, it's gonna be a thing!"
"For the record, your little lemon law is a symbol of everything that's wrong with our no-attention span society.","No, wrong, lemon law is awesome."
"It takes longer than five minutes to really get to know someone. You keep giving up on people so quickly, you're gonna miss out on something great.","OK, you're on a blind date, sitting across the table is that guy."
"OK, you're on a blind date, sitting across the table is that guy.","You really think it'll take more than five minutes to realize there will be no date number two?"
"Yes I do. For all I know, that guy's my soul-mate.","Bad move, Scherbatsky."
"Bad move, Scherbatsky.","Hi, have you met Robin?"
"Leave me alone.","4:56, 4:57, 4:58."
"We're only just getting to know each other.","Say I'm right and this could all be over. This could be your call from the hospital."
"They're just patching her up. She's gonna be fine.","So get this, I was on a date with this girl, Jackie."
"So get this, I was on a date with this girl, Jackie.","What? You said she's fine. So, anyway, I was on date with this girl, Jackie."
"INT. HOSPITAL WAITNG ROOM","It's out there, it's a thing. The lemon law is a thing. Damn, I should have called it Barney's law."
"Here here. Cheers","And to the lemon law."
"And to the lemon law.","Self-clink."
"Not how much? What.","The Thankstini. A fun and delicious new novelty drink I invented. Cranberry juice, potato vodka and a bouillon cube. Tastes just like a turkey dinner."
"No, Barney's got his own Thanksgiving tradition.","Thanksgiving in a strip club, who's in? The Lusty Leopard has a surprisingly good Thanksgiving buffet. Plus, they do this thing. Heather dresses up as a pilgrim and Misty dresses up as an Indian, and they share a meal."
"Oh, Barney.","I'm sorry, Native American."
"Yeah, I thought I'd just spend the day giving back, you know, doing some good.","Canceling out Barney."
"I know. I'm so psyched we did this. Look at all these people, giving up their Thanksgiving to help their fellow man. These have got to be the best people in New York.","Excuse me, guys. Coming through."
"Barney?","Well, hi guys."
"What are you doing here?","Oh, just the Lord's work."
"But you're Satan.","Guys, OK, look, I don't advertise it, but I volunteer here. I think it's important to help the less fortunate. I'm the Angelina Jolie of incredibly hot guys."
"Barney, we need you out front. There is a logjam on the stuffing line. Can you show them how it's done?","I'm on it."
"Every Sunday, all year long. He's our best volunteer","That's because I was trained by the best, Kendall."
"Come on, we just wanna help out.","Kendall, they're cool."
"Fine, but I'm not promising anything. Wait here, we'll let you know if we need you.","OK, well, I better get out there. There's a lot of food to give out. And a lot of smiles."
"INT. HOMELESS SHELTER KITCHEN","So, wait, not only have you not done any good for anyone today, you're actually helping someone steal from the homeless. You know, Ted, it's called Thanksgiving, not Thankstaking. Damn."
"Hey, Barn? What do you say you let us sub in for you, scoop stuffing for a little bit?","You wanna scoop stuffing your first day out? Hello, NFL, can I be quarterback this Sunday? Dude."
"Barney, you need me to sign your time sheet, right?","Yeah, Right. Thanks."
"You have a time sheet. No one else has a time sheet.","Yeah, so."
"All right, let me see that.","That's my private personal business!"
"Oh my God, you're on probation? What did you do?","That's my private personal business."
"That's my private personal business.","I was unfairly punished because the wall belonged to the judge's church."
"You peed on a church?","I peed in an alley which happened to have a church which I did not see because I was drunk."
"Now, all's right with the world again.","OK, fine, so a judge is making me do this but I'm still doing it, and kicking ass at it, BTW."
"OK, fine, so a judge is making me do this but I'm still doing it, and kicking ass at it, BTW.","When's the last time either of you did any good? Huh?"
"Apparently you can. And his two non-mushroom-throwing friends.","I can't believe that I told Kendall you guys were cool. I had 40 hours left on my community service and now I've got to spend it spearing trash on a freaking median strip."
"I can't believe that I told Kendall you guys were cool. I had 40 hours left on my community service and now I've got to spend it spearing trash on a freaking median strip.","Volunteer of the year!"
"I'm sorry, I'm sorry. OK, look, if there's anything I can do to make it up to you, just tell me, I'll do it.","Ted, I'm glad you asked."
"Surprisingly good.","Right? I told you so."
"You wanna know why I have to work tomorrow? My firm's designing an executive lounge for a tobacco company. In the fight against cancer, I'm on the side of cancer.","OK, Ted, I found a way for you to help someone, to do some good. This is Walter, and Walter is homeless. And Walter would like a lap dance."
"Are you joking?","I never joke about the sublime art of burlesque entertainment."
"No, I'm stuffed. Just a lap dance would be fine.","Ted, Walter's been to three shelter dinners. You know where he hasn't been? To heaven with Samantha. Look, it's the one chance you've had all day to help someone in need. Now buy this man a lap dance."
"I hope not.","No, no."
"OK, I know that you've all dismissed this theory before, but is there any chance that Carl is a vampire?","That's ridiculous."
"$1500, Stop rounding up. And it's for third world hunger.","You gonna put out?"
"You gonna put out?","What? There's only one reason he's taking her to this dinner and it's not so little Mutu can get his malaria pills."
"OK, first of all, hundred millionaire. And second, she's not the girl of my dreams. We're just friend. Look, it would not be smart if we got together. I mean, I'm looking to settle down. She's looking for...","What? You done? Great. Check out table number four. See that little hottie on the end. She's short but has an ample bosom. I love it. She's like half-boob. Let's go."
"Yeah, and say what? What's our big opening line?","Daddy's home."
"Daddy's home?","Yeah."
"You want us to go over there right now and say to those girls, 'daddy's home.' Really think about that, Barney.","Hm. Yeah, I think it's pretty solid."
"Oh, daddy's back. See, if you'd taken a moment to think about that...","Then Daddy wouldn't have gotten this seven-digit Father's Day card from Amy, huh?"
"That worked. I hate the world.","Ted, your problem is all you do is think, think, think. I'm teaching you how to do, do, do."
"Doo-doo.","Totally."
"So, I think a lot. I happen to have a very powerful brain. It can't be helped.","Oh yes it can."
"Interesting","Ted, I believe you and I met for a reason. It's like the universe was saying, hey, Barney, there's this dude, he's pretty cool but it's your job to make him awesome. Your brain screws you up, Ted. It gets in the way. It happened with Robin, it happened with half-boob. And it's gonna keep on happening until you power down that bucket of neuroses inebriation-style."
"So, what? You want me to do a sh*t.","Oh no. I want you to do five shots."
"Barney, I think you've officially...","No, don't think. Do."
"Even alcohol cannot stop this brain.","I love it, I love it, I love it."
"Oh.","I don't like Chinese."
"Oh, bad idea.","No, no, that's a great idea. That's the whole point of getting drunk. You do things you would never do in a million years if you were sober."
"You'll get this back at the end of class.","Ding, class dismissed. Here you go, kid, you call whoever you want."
"That girl in there is alive, right? Ted: I should call Barney, maybe he knows what happened.","Hello."
"Why are you sleeping in our tub?","The porcelain keeps the suit from wrinkling."
"Wait, were you here when I went to the bathroom in the middle of the night?","Don't worry, I slept through it. I totally didn't sleep through it. For a little girl, you've got a big t*nk."
"How did you get in here anyway? We put Ted to bed around one.","Oh, you put Ted to bed all right."
"I'm back baby doll!","Hey, hey hey hey, he rallies. And the night begins now."
"Hey, hey hey hey, he rallies. And the night begins now.","All right, game face on. Carl, two more. All right, all right, what do we think of this one?"
"I think....","Ehhh! Trick question, no thinking. You know what time it is? It's do o'clock. Let's ride."
"Bring it.","Have you met Ted?"
"Excuse me.","You're calling Robin."
"I'm calling Robin.","Ted, as your mentor and spiritual guide, I forbid you from calling her."
"Oh yeah? What you gonna do?","If you complete that call, I will set your coat on fire."
"You set me on fire.","Real suede wouldn't have gone up so fast. You got robbed, this is a blend."
"And a pineapple. Am I the only one who's curious about the pineapple?","Who is she?"
"I have no idea.","Nice."
"You really don't know who that is?","No, after I hosed you down with a beverage g*n, I brought you back here."
"Barney, you've always taken care of me. You are a gentleman and a scholar. Go into my stable and take my finest stallion. He's yours, his name is Windjammer.","Sleep it off, bra."
"Did you guys?","Oh come on. You've gotta give me this one. Those five shots got you farther with Robin than your brain ever did. See what happens when you don't think? You do! More importantly, you do Robin. Come on."
