"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!","Aruba, huh? The perfect place for a legendary time. Too bad about the honeymoon though."
"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.","Always happy to lend a hand to friends in need. Plus, it gives me a chance to show off my legendary DIY skills."
"Yes, and we're very excited about it.","Of course they are. Who wouldn't be excited to help out a legendary bro?"
"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.","Suit yourself, Rachel. But just so you know, legendary nights are made of impromptu hangouts and spontaneous adventures."
"Okay, sure.","That's the spirit."
"Hey Pheebs, you wanna help?","Ah, Phoebe, the wild card. Let's see if she's up for some legendary fun."
"Oh, I wish I could, but I don't want to.","Classic Phoebe. Always keeping things interesting."
"I'm thinking we've got a bookcase here.","Looks like it's time to unleash the legendary IKEA skills."
"It's a beautiful thing.","Nothing beats the satisfaction of a job well done. Legendary furniture building at its finest."
"What's this?","Looks like something's not quite right. Legendary problem-solving skills to the rescue!"
"It's your suitcase. We're going to Las Vegas.","Las Vegas, baby! The perfect destination for a legendary bros' trip."
"I would have to say that is an 'L'-shaped bracket.","Good eye, my friend. Legendary attention to detail."
"Which goes where?","Hmm, not entirely sure. Time to unleash some legendary trial and error."
"Done with the bookcase!","Boom, legendary bookcase building complete!"
"All finished!","Legendary teamwork at its finest."
"This was Carol's favorite beer. She always drank it out of the can, I should have known.","Uh-oh, looks like we've got a legendary beer faux pas on our hands."
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","Let's keep things legendary, people. No need for drama."
"Yes, please don't spoil all this fun.","Amen to that. Legendary fun should never be spoiled."
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?","Time to show Ross the true meaning of legendary friendship."
"You guys.","That's right, my man. You got us. And let me tell you, that's way better than any piece of furniture or electronics."
"Oh, God.","Don't worry, Ross. With me as your legendary wingman, you'll never have to go through this alone."
"You got screwed.","Legendary, you got screwed."
"Oh my God!","Oh my freaking God!"
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?","Bro, you're not an idiot, you're just a little slow. My brother's been there, and trust me, it's tough. How did you get through it?"
"My brother's going through that right now, he's such a mess. How did you get through it?","Oh, you know, the usual way. Accidentally breaking something valuable of hers, like her...?"
"Well, you might try accidentally breaking something valuable of hers, say her-","-heart, oh wait, I'm thinking of something else, I meant her leg!"
"That's one way! Me, I- I went for the watch.","You went for the watch? Dude, you're a legend! The worst thing I did was shred my girlfriend's favorite bath towel."
"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.","Dude, you are ruthless!"
"Ooh, steer clear of you.","Haha, you know it!"
"I'm divorced! I'm only 26 and I'm divorced!","What? That's awesome! You're finally free! Wait, what happened?"
"Shut up!","No, you shut up!"
"You must stop!","That's it? That's all it took? Legendary!"
"That only took me an hour.","Dude, don't worry about it. Between us, we haven't had a relationship that has lasted longer than a Mento. You had four years with a woman, that's something. I mean, yeah, she ripped your heart out, but that's why we don't do it! Wait, what was my point again?"
"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!","Dude, you're worrying too much. What if there's only one woman for everybody, huh? But that's like saying there's only one flavor of ice cream for you. There are plenty of flavors out there. Rocky Road, Cookie Dough, Bing! Cherry Vanilla. You can get them with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married when you were what, eight? Welcome back to the world! Grab a spoon!"
"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","Hey, don't worry about that. You're not limited to just one woman, man. You can have any woman you want. Just be yourself and go for it!"
"I honestly don't know if I'm hungry or horny.","Bro, stay out of my freezer! That's not where you'll find your answer."
"Ever since she walked out on me, I, uh...","What? Wait, you wanna spell it out with noodles? Come on man, spit it out!"
"No, it's, it's more of a fifth date kinda revelation.","You're getting ahead of yourself, buddy. But hey, aim high!"
"Oh, so there is gonna be a fifth date?","Of course there is! I'm the Barnacle, remember?"
"Isn't there?","Dude, are you kidding me? The universe demands it!"
"Yeah... yeah, I think there is. -What were you gonna say?","Alright, let's hear it. I'm not afraid of anything!"
"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.","Whoa, too much information bro! I'm not Dr. Phil here!"
"Oh God, oh God, I am sorry... I am so sorry...","It's alright man, don't worry about it. You can always turn things around!"
"It's okay...","Of course it is, don't beat yourself up about it!"
"I know being spit on is probably not what you need right now. Um... how long?","Spit take! Classic move. Wait, how long since what? Don't leave me hanging here."
"Two years.","Two years? That's insane! No wonder you're in this state."
"Wow! I'm-I'm-I'm glad you smashed her watch!","Hell yeah, you showed her who's boss! Don't let anyone mess with you!"
"So you still think you, um... might want that fifth date?","Why not? It's a chance to turn your luck around!"
"...Yeah. Yeah, I do.","That's the spirit! You're unstoppable, dude!"
"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.","Oh, come on! Joanne clearly loved Chachi! That's like, Rule Number One!"
"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?","Great story, but I gotta bounce! I've got a hot date tonight, and I don't wanna be late."
"Angela's the screamer, Andrea has cats.","Yeah, that's right! Good memory, bro."
"Right. Thanks. It's June. I'm outta here.","June? Wow, time flies when you're living it up, huh?"
"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?","Dude, are you kidding me? The Barnacle never has trouble finding a date! The question is, who should I pick?"
"Isn't this amazing? I mean, I have never made coffee before in my entire life.","That's impressive, bro! I'm proud of you!"
"That is amazing.","You're damn right it is! I'm a natural!"
"Congratulations.","Thanks, man! I appreciate it!"
"Y'know, I figure if I can make coffee, there isn't anything I can't do.","If can invade Poland, there isn't anything I can't do."
"If can invade Poland, there isn't anything I can't do.","Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...","Oh good, Lenny and Squigy are here."
"Oh good, Lenny and Squigy are here.","Morning. Good morning."
"Morning. Good morning.","Morning."
"Morning.","You too. Last night was just wonderful."
"Morning, Paul.","Hello, Paul."
"Hello, Paul.","Hi, Paul, is it?"
"Thank you! Thank you so much!","Stop!"
"Stop!","Oh."
"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.","We'll talk later."
"We'll talk later.","Yeah. Thank you."
"Yeah. Thank you.","That wasn't a real date?! What the hell do you do on a real date?"
"That wasn't a real date?! What the hell do you do on a real date?","Shut up, and put my table back."
"Shut up, and put my table back.","Okayyy!"
"Okayyy!","All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...","So, like, you guys all have jobs?"
"So, like, you guys all have jobs?","Yeah, we all have jobs. See, that's how we buy stuff."
